censo,per_si,pc1_2009,despforz,victim,lndespforz,lnvictim,Id_mun
1508418,37.02938861,-0.766556859,68168,2049,11.12973022,7.625107288,05001
15274,38.10643928,-0.990145206,7428,48,8.913011551,3.871201038,05002
1938,39.08256881,0.753998935,766,15,6.641181946,2.708050251,05004
4577,58.12274368,-1.009496212,4246,29,8.353733063,3.367295742,05021
22028,33.48867106,-0.927186191,1037,38,6.944087029,3.637586117,05030
16928,36.24792474,-0.483098119,4528,12,8.418035507,2.484906673,05031
34842,35.78793992,-0.888932943,2537,21,7.838737488,3.044522524,05034
5679,35.51701991,-0.946491778,1133,2,7.032624245,0.693147182,05036
9154,39.29765886,-0.889467537,2410,28,7.787382126,3.33220458,05038
11144,64.92454914,1.836086988,11177,634,9.321613312,6.452048779,05040
19732,38.21381764,0.909273207,2235,12,7.711996555,2.484906673,05042
5715,32.91024479,-1.019236565,3118,20,8.044946671,2.995732307,05044
89196,52.3202241,3.805378675,49545,599,10.81063652,6.395261765,05045
21448,65.58280028,-0.932880819,17750,2,9.784140587,0.693147182,05051
6627,32.48375812,0.825119793,19684,42,9.887561798,3.737669706,05055
4844,30.80859775,-1.035485029,307,,5.726847649,,05059
38541,32.64417845,-0.925733924,2726,127,7.910590649,4.84418726,05079
4807,43.37121212,-0.845778823,336,0,5.817111015,1,05086
318411,36.43999866,-0.938586652,4583,142,8.430109024,4.955827236,05088
8372,29.56852792,-0.783865631,1616,,7.387709141,,05091
13377,34.37072503,-0.78989023,15707,30,9.66186142,3.401197433,05093
24029,29.78800507,-0.866152763,2681,10,7.893945217,2.302585125,05101
6169,69.35565703,-0.81061852,4321,31,8.371242523,3.433987141,05107
6829,34.75073314,-0.968847811,5212,153,8.558718681,5.030437946,05113
19788,64.85507246,2.248351097,11727,25,9.369648933,3.218875885,05120
6091,39.1677675,-0.870473623,1998,17,7.599902153,2.833213329,05125
60580,36.52372155,-0.921550751,869,82,6.767343044,4.406719208,05129
6360,50.61324612,0.483713776,2003,39,7.602401257,3.663561583,05134
13402,41.09677419,-0.823669314,6039,22,8.705993652,3.091042519,05138
4856,49.35952178,-0.928903699,520,1,6.253829002,0,05142
5231,41.82621502,-1.043622732,411,8,6.018593311,2.079441547,05145
41461,46.79374561,-0.831169307,12752,19,9.453443527,2.944438934,05147
33070,33.88292982,-0.973804951,6669,81,8.805225372,4.394449234,05148
4081,41.99095023,-1.060415506,240,11,5.480638981,2.397895336,05150
66133,43.36322428,1.537255883,13131,40,9.482730865,3.68887949,05154
44791,52.39081793,1.163745642,22252,72,10.01018715,4.276666164,05172
11434,37.11057857,-0.796743929,572,,6.349139214,,05190
12965,35.39651838,-0.97586447,25964,2689,10.1644659,7.896924496,05197
4409,38.0572189,-0.817761958,2133,41,7.665284634,3.713572025,05206
16027,32.41312114,-0.948633194,2471,13,7.812378407,2.564949274,05209
62062,38.78065644,-0.930694818,504,22,6.222576141,3.091042519,05212
16986,64.68539081,1.838681698,30115,162,10.31277847,5.087596416,05234
16576,26.02011767,-0.990781963,242,4,5.488937855,1.386294365,05237
11421,35.09981851,-0.949578643,504,,6.222576141,,05240
36056,43.84604735,3.823717117,23046,83,10.04524708,4.418840408,05250
7957,32.95368261,-1.041793823,104,,4.64439106,,05264
232003,35.98115273,-0.987692058,192,15,5.257495403,2.708050251,05266
18196,35.72477449,-0.997021317,372,18,5.918893814,2.890371799,05282
16785,55.19013361,0.935786605,11561,22,9.355392456,3.091042519,05284
3946,54.45625511,-0.930801868,376,9,5.929589272,2.197224617,05306
