statecode,muncode,municipality,inflation_2015
17,17001,Manizales,7.97
70,70001,Sincelejo,7.78
8,08001,Barranquilla,7.65
52,52001,Pasto,7.58
13,13001,Cartagena,7.4
88,88001,San Andres,7.25
41,41001,Neiva,7.2
44,44001,Riohacha,7.11
63,63001,Armenia,6.95
19,19001,Popayan,6.88
66,66001,Pereira,6.87
76,76001,Cali,6.85
5,5001,Medellin,6.82
18,18001,Florencia,6.8
23,23001,Monteria,6.78
20,20001,Valledupar,6.76
73,73001,Ibague,6.73
47,47001,Santa Marta,6.7
11,11001,Bogota,6.62
50,50001,Villavicencio,6.56
27,27001,Quibdo,6.27
15,15001,Tunja,6.07
68,68001,Bucaramanga,6.02
54,54001,Cucuta,5.58
