year,cod_dpto,cod_mpio,Name_mun,depto,Labor,ibc_sal,PET,pib_dpto_const_base2000,pib_dpto_corr,DIP_dpto,infl_dpto,grado_importancia,addval,weight,pib_mun_corr,pib_mun_const,DIP_mun,TO,TD_Dpto,TO_Dpto,TGP_Dpto
2013,91,91263,EL ENCANTO,AMAZONAS,125.3333333,643726.011,3412,333,477,1.432432413,,7,12.46463454,0.025232054,12.03568935,8.402274132,1.432432413,3.673309803,,,
2014,91,91263,EL ENCANTO,AMAZONAS,76.58333333,672377.9727,3429,347,521,1.501440883,4.817572594,7,12.46463454,0.025232054,13.14589977,8.755522728,1.501440883,2.233401299,,,
2015,91,91263,EL ENCANTO,AMAZONAS,82.66666667,773578.0604,3450,,,,,,,,,,,2.39613533,,,
2013,91,91405,LA CHORRERA,AMAZONAS,4.833333333,583100.3788,2658,333,477,1.432432413,,7,25.56726273,0.051755593,24.68741798,17.23461151,1.432432532,0.181840986,,,
2014,91,91405,LA CHORRERA,AMAZONAS,2,613791.6667,2695,347,521,1.501440883,4.817572594,7,25.56726273,0.051755593,26.96466446,17.95919037,1.501441002,0.074211501,,,
2015,91,91405,LA CHORRERA,AMAZONAS,2.222222222,624462.6667,2747,,,,,,,,,,,0.080896333,,,
2013,91,91407,LA PEDRERA,AMAZONAS,5.333333333,609638.0952,3183,333,477,1.432432413,,7,14.68373772,0.029724165,14.17842674,9.898146629,1.432432532,0.167556807,,,
2014,91,91407,LA PEDRERA,AMAZONAS,5.666666667,676367.4603,3296,347,521,1.501440883,4.817572594,7,14.68373772,0.029724165,15.48628998,10.31428528,1.501440883,0.17192556,,,
2015,91,91407,LA PEDRERA,AMAZONAS,7.166666667,683758.5069,3422,,,,,,,,,,,0.20942919,,,
2013,91,91430,LA VICTORIA,AMAZONAS,6.416666667,684880.9524,732,333,477,1.432432413,,7,2.637459197,0.005338986,2.546696424,1.777882457,1.432432413,0.876593828,,,
2014,91,91430,LA VICTORIA,AMAZONAS,1.5,691750,739,347,521,1.501440883,4.817572594,7,2.637459197,0.005338986,2.781611919,1.852628231,1.501441002,0.202977002,,,
2015,91,91430,LA VICTORIA,AMAZONAS,1.444444444,858081.9444,745,,,,,,,,,,,0.193885162,,,
2013,91,91001,LETICIA,AMAZONAS,4911.416667,680928.4081,31002,333,477,1.432432413,,4,348.8551657,0.706784546,337.1362305,235.3592529,1.432432413,15.8422575,,,
2014,91,91001,LETICIA,AMAZONAS,9309.833333,721953.5071,31311,347,521,1.501440883,4.817572594,4,348.8551657,0.706784546,368.2347412,245.2542419,1.501440883,29.73342705,,,
2015,91,91001,LETICIA,AMAZONAS,5908.916667,756334.1062,31580,,,,,,,,,,,18.71094513,,,
2013,91,91460,MIRITI - PARANA,AMAZONAS,5.416666667,695746.4286,1127,333,477,1.432432413,,7,3.868464178,0.007830899,3.735338926,2.607689381,1.432432413,0.48062703,,,
