CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
19517,CAUCA,PAEZ,6538,2333,2224
19585,CAUCA,PURACE,1921,120,159
15442,BOYACA,MARIPI,479,85,75
15466,BOYACA,MONGUI,18,32,19
15480,BOYACA,MUZO,1045,307,230
15507,BOYACA,OTANCHE,1654,491,474
15542,BOYACA,PESCA,139,77,77
19698,CAUCA,SANTANDER DE QUILICHAO,7671,18393,15472
15362,BOYACA,IZA,24,19,4
15367,BOYACA,JENESANO,31,64,82
15368,BOYACA,JERICO,247,27,1
18460,CAQUETA,MILAN,15661,2408,2874
19137,CAUCA,CALDONO,3481,1111,1033
15580,BOYACA,QUIPAMA,388,129,68
15600,BOYACA,RAQUIRA,9,39,32
15667,BOYACA,SAN LUIS DE GACENO,701,363,338
15806,BOYACA,TIBASOSA,8,233,217
27580,CHOCO,RIO IRO,2882,931,2068
47161,MAGDALENA,CERRO SAN ANTONIO,4809,460,1472
44420,LA GUAJIRA,LA JAGUA DEL PILAR,1256,672,621
25120,CUNDINAMARCA,CABRERA,2011,515,469
25151,CUNDINAMARCA,CAQUEZA,280,326,237
25281,CUNDINAMARCA,FOSCA,188,7,12
25322,CUNDINAMARCA,GUASCA,80,563,550
25339,CUNDINAMARCA,GUTIERREZ,709,113,186
25377,CUNDINAMARCA,LA CALERA,155,371,331
25594,CUNDINAMARCA,QUETAME,177,81,83
25740,CUNDINAMARCA,SIBATE,259,1214,1166
25769,CUNDINAMARCA,SUBACHOQUE,52,219,235
25436,CUNDINAMARCA,MANTA,137,45,36
25473,CUNDINAMARCA,MOSQUERA,131,3011,1722
25513,CUNDINAMARCA,PACHO,1248,1682,1278
25535,CUNDINAMARCA,PASCA,942,257,240
47318,MAGDALENA,GUAMAL,3286,669,730
41006,HUILA,ACEVEDO,6949,3895,3735
41801,HUILA,TERUEL,964,683,866
25777,CUNDINAMARCA,SUPATA,109,49,53
25797,CUNDINAMARCA,TENA,141,290,277
25851,CUNDINAMARCA,UTICA,698,726,699
25862,CUNDINAMARCA,VERGARA,1011,450,573
54109,NORTE DE SANTANDER,BUCARASICA,2266,943,1246
54245,NORTE DE SANTANDER,EL CARMEN,9250,3105,2827
52320,NARI„O,GUAITARILLA,428,284,227
52390,NARI„O,LA TOLA,4072,1849,1841
52399,NARI„O,LA UNION,1812,3075,2973
50568,META,PUERTO GAITAN,7101,2480,2433
50590,META,PUERTO RICO,21504,4556,4763
47798,MAGDALENA,TENERIFE,9482,3438,3650
54418,NORTE DE SANTANDER,LOURDES,682,520,517
54660,NORTE DE SANTANDER,SALAZAR,1332,400,367
54673,NORTE DE SANTANDER,SAN CAYETANO,163,345,299
54743,NORTE DE SANTANDER,SILOS,197,25,54
5790,ANTIOQUIA,TARAZA,28090,16299,14725
8436,ATLANTICO,MANATI,177,439,360
8573,ATLANTICO,PUERTO COLOMBIA,178,2939,2691
8758,ATLANTICO,SOLEDAD,2778,65004,42593
8770,ATLANTICO,SUAN,114,699,504
5861,ANTIOQUIA,VENECIA,913,562,643
52036,NARI„O,ANCUYA,377,754,748
5664,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,7851,3514,1507
13440,BOLIVAR,MARGARITA,719,280,274
13650,BOLIVAR,SAN FERNANDO,612,194,85
5044,ANTIOQUIA,ANZA,4506,2763,3413
5088,ANTIOQUIA,BELLO,9800,49053,42691
5021,ANTIOQUIA,ALEJANDRIA,6060,3515,4739
13074,BOLIVAR,BARRANCO DE LOBA,15508,5946,6817
13810,BOLIVAR,TIQUISIO,28551,8309,10137
13894,BOLIVAR,ZAMBRANO,19191,9107,9161
15087,BOYACA,BELEN,125,143,133
15090,BOYACA,BERBEO,145,138,143
