,MUNICIPIO,DEPARTAMENTO,VOTOS.x,VOTOS.y,supp
1,ABEJORRAL,ANTIOQUIA,6933,5300,76.44598298
2,ABREGO,NORTE DE SANTANDER,9220,5320,57.70065076
3,ABRIAQUI,ANTIOQUIA,875,514,58.74285714
4,ACACIAS,META,32849,22412,68.2273433
5,ACANDI,CHOCO,3368,938,27.85035629
6,ACEVEDO,HUILA,10666,9733,91.25257829
7,ACHI,BOLIVAR,7260,5228,72.01101928
9,AGRADO,HUILA,3449,2364,68.54160626
10,AGUA DE DIOS,CUNDINAMARCA,5192,1927,37.11479199
11,AGUACHICA,CESAR,32188,15782,49.03069467
12,AGUADA,SANTANDER,859,552,64.26076834
13,AGUADAS,CALDAS,9918,7307,73.67412785
14,AGUAZUL,CASANARE,15316,10923,71.31757639
15,AGUSTIN CODAZZI,CESAR,19043,8152,42.80838103
16,AIPE,HUILA,6331,3917,61.87016269
17,ALBAN,CUNDINAMARCA,2480,1637,66.00806452
18,ALBAN,NARI„O,3990,3088,77.39348371
19,ALBANIA,CAQUETA,1757,1139,64.82640865
20,ALBANIA,LA GUAJIRA,6470,1635,25.27047913
21,ALBANIA,SANTANDER,1557,925,59.4091201
22,ALCALA,VALLE DEL CAUCA,5044,2280,45.20222046
23,ALDANA,NARI„O,3174,1284,40.4536862
24,ALEJANDRIA,ANTIOQUIA,2206,959,43.47234814
26,ALGARROBO,MAGDALENA,4927,905,18.36817536
27,ALGECIRAS,HUILA,5925,3044,51.37552743
28,ALMAGUER,CAUCA,5921,356,6.012497889
29,ALMEIDA,BOYACA,845,565,66.86390533
30,ALPUJARRA,TOLIMA,1962,1598,81.44750255
31,ALTAMIRA,HUILA,1423,911,64.01967674
32,ALTO BAUDO,CHOCO,1216,132,10.85526316
33,ALTOS DEL ROSARIO,BOLIVAR,2766,1040,37.59942155
34,ALVARADO,TOLIMA,3984,1794,45.03012048
35,AMAGA,ANTIOQUIA,9157,4704,51.3705362
36,AMALFI,ANTIOQUIA,4945,3543,71.64812942
37,AMBALEMA,TOLIMA,3183,1072,33.67891926
38,ANAPOIMA,CUNDINAMARCA,6030,3691,61.2106136
39,ANCUYA,NARI„O,3653,893,24.4456611
40,ANDALUCIA,VALLE DEL CAUCA,8986,2664,29.64611618
41,ANDES,ANTIOQUIA,14097,10324,73.23544016
