statecode,state,unemployment_2015
5,Antioquia,9.237427027
8,Atlantico,7.952013086
11,Bogota,8.739739613
13,Bolivar,6.968903525
15,Boyaca,6.185885886
17,Caldas,8.364800939
18,Caqueta,7.778368929
19,Cauca,10.11209712
20,Cesar,8.908076714
23,Cordoba,6.031307327
25,Cundinamarca,7.897586452
27,Choco,11.01655684
41,Huila,7.611734254
44,La guajira,7.237202534
47,Magdalena,7.379398082
50,Meta,10.23197346
52,Nari–o,9.161790491
54,Nsantander,12.49589535
63,Quindio,12.85136826
66,Risaralda,10.52572114
68,Santander,6.6592644
70,Sucre,8.302147685
73,Tolima,10.4123252
76,Valle,11.03478276
81,Arauca,12.08505431
85,Yopal,7.492791234
86,Mocoa,10.69075965
91,Leticia,7.994601461
94,Pinirida,7.438512298
95,Sjguaviare,13.21045223
97,Mitu,8.48044306
99,Pcarre–o,11.13046232
